Name,Matches_Played,Ball_Recoveries,Duels,Passes_Completed,Interceptions,Num_Dribbles,Dribbles_Completed
Dimitri Foulquier,2,3.0,50.0,100.0,1.0,4.0,100.0
Javier Galán Gil,2,4.0,50.0,98.0,1.0,4.0,75.0
Andoni Gorosabel Espinosa,1,4.0,33.33,95.92,,4.0,50.0
José Luis Gayà Peña,2,4.0,33.33,80.0,2.0,,
Joaquín Navarro Jiménez,1,1.0,16.67,86.36,,,
José Ignacio Fernández Iglesias,1,1.0,,100.0,1.0,3.0,100.0
David Ferreiro Quiroga,2,10.0,,100.0,,6.0,83.33
Yuri Berchiche Izeta,2,4.0,,100.0,2.0,5.0,20.0
Antonio García Aranda,1,5.0,,100.0,2.0,2.0,
Daniel Wass,2,4.0,,100.0,1.0,,
Alberto Rodríguez Baró,1,3.0,,100.0,1.0,,
Facundo Sebastián Roncaglia,1,3.0,,100.0,1.0,,
Carlos Neva Tey,1,1.0,,100.0,,,
Juan Carlos Real Ruiz,1,1.0,,100.0,,,
Víctor Laguardia Cisneros,1,,,100.0,,,
Marcos Javier Acuña,1,2.0,,98.04,,,
Jorge Pulido Mayoral,2,2.0,,97.67,,,
Juan Marcos Foyth,1,7.0,,96.67,2.0,4.0,75.0
José Antonio Rodríguez Díaz,1,7.0,,96.15,,2.0,50.0
Manuel Sánchez De La Peña,1,1.0,,95.35,1.0,,
Ignacio Monreal Eraso,1,3.0,,93.55,,2.0,50.0
Kevin Vázquez Comesaña,1,2.0,,89.09,1.0,,
Amankwaa Akurugu,1,2.0,,83.33,,,
Mikel Balenziaga Oruesagasti,1,2.0,,81.82,1.0,,
Marc Cucurella Saseta,1,1.0,,81.25,,,
